8 NN, FaceAll, 0.6396449704142012
9 NN, FaceAll, 0.6337278106508876
1 NN, FaceFour, 0.7840909090909091
3 NN, FaceFour, 0.6931818181818182
4 NN, FaceFour, 0.7159090909090909
5 NN, FaceFour, 0.6363636363636364
6 NN, FaceFour, 0.5909090909090909
7 NN, FaceFour, 0.5113636363636364
8 NN, FaceFour, 0.4772727272727273
9 NN, FaceFour, 0.4772727272727273
1 NN, FacesUCR, 0.7692682926829268
3 NN, FacesUCR, 0.7282926829268292
4 NN, FacesUCR, 0.697560975609756
5 NN, FacesUCR, 0.6604878048780488
6 NN, FacesUCR, 0.6439024390243903
7 NN, FacesUCR, 0.6292682926829268
8 NN, FacesUCR, 0.6175609756097561
9 NN, FacesUCR, 0.5907317073170731
1 NN, FiftyWords, 0.6307692307692307
3 NN, FiftyWords, 0.643956043956044
4 NN, FiftyWords, 0.6417582417582418
5 NN, FiftyWords, 0.6483516483516484
6 NN, FiftyWords, 0.6197802197802198
7 NN, FiftyWords, 0.610989010989011
8 NN, FiftyWords, 0.6043956043956044
9 NN, FiftyWords, 0.5956043956043956
1 NN, Fish, 0.7828571428571428
3 NN, Fish, 0.7714285714285715
4 NN, Fish, 0.7485714285714286
5 NN, Fish, 0.76
6 NN, Fish, 0.7257142857142858
7 NN, Fish, 0.7142857142857143
8 NN, Fish, 0.7142857142857143
9 NN, Fish, 0.7142857142857143
1 NN, FordA, 0.6651515151515152
3 NN, FordA, 0.6954545454545454
4 NN, FordA, 0.6977272727272728
5 NN, FordA, 0.7196969696969697
6 NN, FordA, 0.7143939393939394
7 NN, FordA, 0.7212121212121212
8 NN, FordA, 0.7212121212121212
9 NN, FordA, 0.7234848484848485
1 NN, FordB, 0.6061728395061728
3 NN, FordB, 0.6259259259259259
4 NN, FordB, 0.6123456790123457
5 NN, FordB, 0.6234567901234568
6 NN, FordB, 0.6234567901234568
7 NN, FordB, 0.6370370370370371
8 NN, FordB, 0.6469135802469136
9 NN, FordB, 0.6481481481481481
1 NN, GunPoint, 0.9133333333333333
3 NN, GunPoint, 0.8733333333333333
4 NN, GunPoint, 0.9
5 NN, GunPoint, 0.8
6 NN, GunPoint, 0.8333333333333334
7 NN, GunPoint, 0.7733333333333333
8 NN, GunPoint, 0.7733333333333333
9 NN, GunPoint, 0.7466666666666667
1 NN, Ham, 0.6
3 NN, Ham, 0.5904761904761905
4 NN, Ham, 0.6
5 NN, Ham, 0.6285714285714286
6 NN, Ham, 0.638095238095238
7 NN, Ham, 0.6476190476190476
8 NN, Ham, 0.6571428571428571
9 NN, Ham, 0.6666666666666666
1 NN, HandOutlines, 0.8621621621621621
3 NN, HandOutlines, 0.8864864864864865
4 NN, HandOutlines, 0.8783783783783784
5 NN, HandOutlines, 0.8810810810810811
6 NN, HandOutlines, 0.8783783783783784
7 NN, HandOutlines, 0.8783783783783784
8 NN, HandOutlines, 0.8837837837837837
9 NN, HandOutlines, 0.8783783783783784
1 NN, Haptics, 0.37012987012987014
3 NN, Haptics, 0.38636363636363635
4 NN, Haptics, 0.4090909090909091
5 NN, Haptics, 0.4253246753246753
6 NN, Haptics, 0.42207792207792205
7 NN, Haptics, 0.42857142857142855
8 NN, Haptics, 0.44155844155844154
9 NN, Haptics, 0.41233766233766234
1 NN, Herring, 0.515625
3 NN, Herring, 0.5625
4 NN, Herring, 0.578125
5 NN, Herring, 0.515625
6 NN, Herring, 0.484375
7 NN, Herring, 0.515625
8 NN, Herring, 0.546875
9 NN, Herring, 0.515625
1 NN, InlineSkate, 0.3418181818181818
3 NN, InlineSkate, 0.2927272727272727
4 NN, InlineSkate, 0.24909090909090909
5 NN, InlineSkate, 0.24181818181818182
6 NN, InlineSkate, 0.24545454545454545
7 NN, InlineSkate, 0.24
8 NN, InlineSkate, 0.23272727272727273
9 NN, InlineSkate, 0.23272727272727273
1 NN, InsectWingbeatSound, 0.5616161616161616
3 NN, InsectWingbeatSound, 0.5904040404040404
4 NN, InsectWingbeatSound, 0.5964646464646465
5 NN, InsectWingbeatSound, 0.6005050505050505
6 NN, InsectWingbeatSound, 0.6085858585858586
7 NN, InsectWingbeatSound, 0.6111111111111112
8 NN, InsectWingbeatSound, 0.6111111111111112
9 NN, InsectWingbeatSound, 0.6050505050505051
1 NN, ItalyPowerDemand, 0.9552964042759962
3 NN, ItalyPowerDemand, 0.956268221574344
4 NN, ItalyPowerDemand, 0.9543245869776482
5 NN, ItalyPowerDemand, 0.9523809523809523
6 NN, ItalyPowerDemand, 0.9543245869776482
7 NN, ItalyPowerDemand, 0.9601554907677357
8 NN, ItalyPowerDemand, 0.9533527696793003
